Name,OperationalStatus_Confirmed,PreliminaryOrganizationType,NameAlphabetized_Confirmed
Municipal Water Finance Authority,Active,Authority or Public Benefit Corporation,"Municipal Water Finance Authority, NYC"
MWBE Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",MWBE Advisory Board
New York City Children's Cabinet ,Active,Mayoral Office,Children's Cabinet
New York City Districting Commission,Active,"Advisory, Oversight, or Regulatory Body",Districting Commission
New York City Employees' Retirement System Pension Fund Board of Trustees,Active,"Advisory, Oversight, or Regulatory Body",New York City Employees' Retirement System Pension Fund Board of Trustees
New York City Housing Authority,Active,Authority or Public Benefit Corporation,"Housing Authority, New York City"
New York City Housing Authority Board,Active,"Advisory, Oversight, or Regulatory Body","Housing Authority Board, New York City"
New York City Municipal Insurance Company,Active,Authority or Public Benefit Corporation,"Municipal Insurance Company, New York City"
New York City Panel on Climate Change,Active,"Advisory, Oversight, or Regulatory Body","Panel on Climate Change, New York City"
New York City Public Housing Preservation Trust,Active,Authority or Public Benefit Corporation,"Public Housing Preservation Trust, New York City"
"New York City School Bus Umbrella Services, Inc.",Active,Authority or Public Benefit Corporation,"School Bus Umbrella Services, Inc., New York City"
New York City School Support Services,Active,Non-Governmental Organization,"School Support Services, New York City"
New York City Transit Riders Council,Active,"Advisory, Oversight, or Regulatory Body","Transit Riders Council, New York City"
New York City Watershed Protection and Partnership Council,Active,"Advisory, Oversight, or Regulatory Body","Watershed Protection and Partnership Council, New York City"
New York Community Trust Distribution Committee,Active,"Advisory, Oversight, or Regulatory Body",New York Community Trust Distribution Committee
New York County Public Administrator,Active,State Government Agency,Public Administrator - New York County
New York Public Library,Active,Non-Governmental Organization,New York Public Library
New York Research Libraries,Active,Non-Governmental Organization,New York Research Libraries
Nightlife Advisory Board,Dissolved,"Advisory, Oversight, or Regulatory Body",Nightlife Advisory Board
Nonprofit Advisory Council,Active,"Advisory, Oversight, or Regulatory Body",Nonprofit Advisory Council
Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee,Active,"Advisory, Oversight, or Regulatory Body",Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee
NYC & Company,Active,Non-Governmental Organization,NYC & Company
NYC Care,Active,Division,NYC Care
NYC Emergency Management,Active,Mayoral Agency,"Emergency Management, NYC"
NYC Health + Hospitals,Active,Authority or Public Benefit Corporation,"Health + Hospitals, NYC"
NYC Media,Duplicate,Division,NYC Media
NYC Media,Active,Division,NYC Media
NYC Service,Active,Mayoral Office,NYC Service
NYC Tourism + Conventions,Active,Non-Governmental Organization,NYC Tourism + Conventions
NYC Transitional Finance Authority,Active,Authority or Public Benefit Corporation,Transitional Finance Authority
NYPD Domestic and Gender-Based Violence Training Committee,Active,"Advisory, Oversight, or Regulatory Body",NYPD Domestic and Gender-Based Violence Training Committee
NYPD Pension Fund Board of Trustees,Active,"Advisory, Oversight, or Regulatory Body",NYPD Pension Fund Board of Trustees
Office Conversions Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Office Conversions Task Force
Office for Prevention of Hate Crimes,Active,Mayoral Office,"Prevention of Hate Crimes, Mayor's Office for the"
Office of Administrative Justice Coordinator,Active,Mayoral Office,"Administrative Justice Coordinator, Office of"
Office of Administrative Tax Appeals,Active,Mayoral Agency,"Administrative Tax Appeals, Office of"
Office of Administrative Trials and Hearings,Active,Mayoral Agency,"Administrative Trials and Hearings, Office of"
Office of Asylum Seeker Operations,Active,Mayoral Office,"Asylum Seeker Operations, Office of"
Office of Building Energy and Emissions Performance,Active,Division,"Building Energy and Emissions Performance, Office of"
Office of Capital Project Development,Active,Mayoral Office,"Capital Project Development, Office of"
Office of Childcare and Early Childhood Education,Active,Mayoral Office,"Child Care and Early Childhood Education, Mayor's Office for"
Office of Collective Bargaining,Active,Mayoral Agency,"Collective Bargaining, Office of"
Office of Community Hiring,Active,Mayoral Office,"Community Hiring, Office of"
Office of Community Mental Health,Active,Mayoral Office,"Community Mental Health, Mayor's Office of"
Office of Creative Communications,Duplicate,Mayoral Office,"Creative Communications, Office of"
Office of Creative Communications,Active,Mayoral Office,"Creative Communications, Office of"
Office of Crime Victim Services,Active,Division,"Crime Victim Services, Office of"
Office of Data Analytics,Active,Division,"Data Analytics, Office of"
Office of Diversity and Inclusion,Active,Division,"Diversity and Inclusion, Office of"
Office of Emerging Markets,Active,Mayoral Office,"Innovation and Emerging Markets, Mayor's Office of"
Office of Engagement,Active,Mayoral Office,"Engagement, Mayor's Office of"
Office of Environmental Coordination,Active,Mayoral Office,"Environmental Coordination, Mayor's Office of"
Office of Environmental Remediation,Active,Mayoral Office,"Environmental Remediation, Mayor's Office of"
Office of Faith-Based and Community Partnerships,Active,Division,"Faith-Based and Community Partnerships, Mayor's Office of"
"Office of Film, Theatre, & Broadcasting",Active,Division,"Film, Theater & Broadcasting, Office of"
Office of Healthcare Accountability,Active,Mayoral Office,"Healthcare Accountability, Office of"
Office of Information Privacy,Active,Division,"Information Privacy, Office of"
Office of Labor Relations,Active,Mayoral Office,"Labor Relations, Office of"
Office of Labor Standards,Active,Division,"Labor Standards, Office of"
Office of Management and Budget,Active,Mayoral Office,"Management and Budget, Mayor's Office of"
Office of Marine Debris Disposal and Vessel Surrendering,Active,Division,"Marine Debris Disposal and Vessel Surrendering, Office of"
Office of Neighborhood Safety,Active,Division,"Neighborhood Safety, Office of"
Office of Payroll Administration,Active,Mayoral Agency,"Payroll Administration, Office of"
Office of Payroll Administration Board,Active,"Advisory, Oversight, or Regulatory Body","Payroll Administration Board, Office of"
Office of Recovery and Resiliency,Active,Division,"Recovery and Resiliency, Office of"
Office of Scheduling and Executive Operations,Active,Mayoral Office,"Scheduling and Executive Operations, Office of"
Office of Street Vendor Enforcement,Active,Division,"Street Vendor Enforcement, Office of"
Office of Technology and Innovation,Active,Mayoral Office,"Technology and Innovation, Office of"
Office of the Actuary,Active,"Advisory, Oversight, or Regulatory Body","Actuary, New York City Office of the"
Office of the Chief Medical Examiner,Active,Division,"Chief Medical Examiner, Office of the"
Office of the City Clerk,Active,Division,"City Clerk, Office of the"
Office of the Inspector General for the NYPD,Active,Division,"Inspector General for the NYPD, Office of the"
Office of the Tenant Advocate,Active,Division,"Tenant Advocate, Office of the"
Opioid Settlement Fund Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Opioid Settlement Fund Advisory Board
Panel on Educational Policy,Active,"Advisory, Oversight, or Regulatory Body",Panel on Educational Policy
Pay Equity Cabinet,Active,Mayoral Office,Pay Equity Cabinet
Police Department,Active,Mayoral Agency,Police Department
Primary Care Development Corporation,Active,Authority or Public Benefit Corporation,Primary Care Development Corporation
Procurement Policy Board,Active,"Advisory, Oversight, or Regulatory Body",Procurement Policy Board
Property Tax Debt Resolution Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Property Tax Debt Resolution Task Force
Prospect Park Alliance ,Active,Non-Governmental Organization,Prospect Park Alliance 
Public Administrator - Bronx County,Active,State Government Agency,Public Administrator - Bronx County
Public Administrator - Queens County,Active,State Government Agency,Public Administrator - Queens County
Public Administrator - Richmond County,Active,State Government Agency,Public Administrator - Richmond County
Public Advocate,Active,Elected Office,"Public Advocate, Office of the"
Public Design Commission,Active,"Advisory, Oversight, or Regulatory Body",Public Design Commission
Public Online Capital Projects Database Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Public Online Capital Projects Database Task Force
Public Realm,Active,Mayoral Office,"Public Realm, Office of the"
"Public Realm Improvement Fund Governing Group, Inc.",Active,Authority or Public Benefit Corporation,"Public Realm Improvement Fund Governing Group, Inc."
Queens Public Library,Active,Non-Governmental Organization,Queens Public Library
Racial Justice Charter Revision Commission,Dissolved,"Advisory, Oversight, or Regulatory Body",Racial Justice Charter Revision Commission
Racial Justice Commission,Dissolved,"Advisory, Oversight, or Regulatory Body",Racial Justice Commission
Randall's Island Park Alliance ,Active,Non-Governmental Organization,Randall's Island Park Alliance 
Real Estate Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Real Estate Advisory Board
Rent Guidelines Board,Active,"Advisory, Oversight, or Regulatory Body",Rent Guidelines Board
Rental Horse Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Mental Hygiene Advisory Board
Residential Mortgage Insurance Corporation ,Active,Authority or Public Benefit Corporation,Residential Mortgage Insurance Corporation 
Retirement Savings Board,Active,"Advisory, Oversight, or Regulatory Body",Retirement Savings Board
Rikers Island Advisory Committee,Active,"Advisory, Oversight, or Regulatory Body",Rikers Island Advisory Committee
Roosevelt Island Operating Corporation,Active,Authority or Public Benefit Corporation,Roosevelt Island Operating Corporation
Sales Tax Asset Receivable Corporation,Active,Authority or Public Benefit Corporation,Sales Tax Asset Receivable Corporation
School Construction Authority,Active,Authority or Public Benefit Corporation,School Construction Authority
School Construction Authority - Board of Trustees,Active,"Advisory, Oversight, or Regulatory Body",School Construction Authority - Board of Trustees
Senior Advisory Council,Active,"Advisory, Oversight, or Regulatory Body",Senior Advisory Council
Sexual Health Education Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Sexual Health Education Task Force
Shelter Accessibility Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Shelter Accessibility Advisory Board
Sheriff,Active,Division,"City Sheriff, Office of the"
Site Safety Training Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Site Safety Training Task Force
Small Business Advisory Commission,Active,"Advisory, Oversight, or Regulatory Body",Small Business Advisory Commission
Soil and Water Conservation District ,Active,"Advisory, Oversight, or Regulatory Body",Soil and Water Conservation District 
Special Commissioner of Investigation for the New York City School District,Active,"Advisory, Oversight, or Regulatory Body","New York City School District, Special Commissioner of Investigation for the"
"Sports, Wellness, & Recreation Advisory Board",Active,"Advisory, Oversight, or Regulatory Body","Sports, Wellness, & Recreation Advisory Board"
State Fire Prevention and Building Code Council,Active,"Advisory, Oversight, or Regulatory Body",State Fire Prevention and Building Code Council
Street Harassment Prevention Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Street Harassment Prevention Advisory Board
Street Vendor Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Street Vendor Advisory Board
Sustainability Advisory Board (Formerly OneNYC),Dissolved,"Advisory, Oversight, or Regulatory Body",Sustainability Advisory Board (Formerly OneNYC)
Task Force on African American Civil Rights History Museum ,Dissolved,"Advisory, Oversight, or Regulatory Body","African American Civil Rights History Museum, Task Force on"
"Task Force on Monuments, Statues, Public Art and Historical Markers",Dissolved,"Advisory, Oversight, or Regulatory Body","Monuments, Statues, Public Art and Historical Markers, Task Force on"
Taskforce on Racial Inclusion and Equity,Active,"Advisory, Oversight, or Regulatory Body","Racial Inclusion and Equity, Taskforce on"
Tax Appeals Tribunal,Active,Division,Tax Appeals Tribunal
Tax Commission,Active,Division,Tax Commission
Taxi and Limousine Commission,Active,Mayoral Agency,Taxi and Limousine Commission
Teachers' Retirement System Pension Fund Board of Trustees,Active,"Advisory, Oversight, or Regulatory Body",Teachers' Retirement System Pension Fund Board of Trustees
Temporary Commercial Incentive Area Boundary Commission,Dissolved,"Advisory, Oversight, or Regulatory Body","Commercial Incentive Area Boundary, Temporary Commission"
Temporary Task Force on Post-Incarceration Reentry for Older Adults,Dissolved,"Advisory, Oversight, or Regulatory Body","Post-Incarceration Reentry for Older Adults, Temporary Task Force on"
Temporary Task Force to Review Tax Lien Sales,Dissolved,"Advisory, Oversight, or Regulatory Body","Review Tax Lien Sales, Temporary Task Force to"
The Village Alliance,Active,Non-Governmental Organization,The Village Alliance
Theater Subdistrict Council Local Development Corporation,Active,Authority or Public Benefit Corporation,Theater Subdistrict Council Local Development Corporation
Three Quarter Housing Task Force,Active,"Advisory, Oversight, or Regulatory Body",Three Quarter Housing Task Force
Times Square Alliance,Active,Non-Governmental Organization,Times Square Alliance
Tobacco Settlement Asset Securitization Corporation,Active,Authority or Public Benefit Corporation,Tobacco Settlement Asset Securitization Corporation
Traffic Mobility Review Board,Active,"Advisory, Oversight, or Regulatory Body",Traffic Mobility Review Board
Transportation of Students in Temporary Housing Task Force,Active,"Advisory, Oversight, or Regulatory Body",Transportation of Students in Temporary Housing Task Force
Trust for Cultural Resources,Active,Non-Governmental Organization,"Cultural Resources, Trust for"
Trust for Governors Island,Active,Non-Governmental Organization,"Governors Island, Trust for"
"TSASC, Inc.",Active,Authority or Public Benefit Corporation,"TSASC, Inc."
Union Square Partnership,Active,Non-Governmental Organization,Union Square Partnership
United Nations Development Corporation,Active,Authority or Public Benefit Corporation,United Nations Development Corporation
Unity Project,Active,Division,Unity Project
Urban Agricultural Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Urban Agricultural Advisory Board
Vehicle Removal Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Vehicle Removal Task Force
Veterans Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Veterans Advisory Board
Voter Assistance Advisory Committee,Active,"Advisory, Oversight, or Regulatory Body",Voter Assistance Advisory Committee
Water Board,Active,Authority or Public Benefit Corporation,"Water Board, New York City"
Waterfront Management Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Waterfront Management Advisory Board
Workforce Development Board,Active,"Advisory, Oversight, or Regulatory Body",Workforce Development Board
Workforce Development Council,Active,"Advisory, Oversight, or Regulatory Body",Workforce Development Council
Workplace Health and Safety Guidance Review Board,Dissolved,"Advisory, Oversight, or Regulatory Body",Workplace Health and Safety Guidance Review Board
World Trade Center Captive Insurance Company,Active,Authority or Public Benefit Corporation,World Trade Center Captive Insurance Company
World Trade Center Memorial Foundation,Active,Non-Governmental Organization,World Trade Center Memorial Foundation
World Trade Center Performing Arts Center,Active,Non-Governmental Organization,World Trade Center Performing Arts Center
Young Future Leaders Advisory Board,Ask Ops,"Advisory, Oversight, or Regulatory Body",Young Future Leaders Advisory Board
Young Men's Initiative,Active,Mayoral Office,Young Men's Initiative
Young Men's Initiative Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Young Men's Initiative Advisory Board
Youth Board,Active,"Advisory, Oversight, or Regulatory Body",Youth Board
