Name,OperationalStatus_Confirmed,PreliminaryOrganizationType,NameAlphabetized_Confirmed
CIG - Jamaica Center for Arts and Learning,Active,Non-Governmental Organization,CIG - Jamaica Center for Arts and Learning
CIG - Jazz at Lincoln Center,Active,Non-Governmental Organization,CIG - Jazz at Lincoln Center
CIG - Lincoln Center for the Performing Arts,Active,Non-Governmental Organization,CIG - Lincoln Center for the Performing Arts
CIG - Metropolitan Museum of Art,Active,Non-Governmental Organization,CIG - Metropolitan Museum of Art
CIG - Museum of Jewish Heritage,Active,Non-Governmental Organization,CIG - Museum of Jewish Heritage
CIG - Museum of Modern Art,Active,Non-Governmental Organization,CIG - Museum of Modern Art
CIG - Museum of the City of New York,Active,Non-Governmental Organization,CIG - Museum of the City of New York
CIG - Museum of the Moving Image,Active,Non-Governmental Organization,CIG - Museum of the Moving Image
CIG - New York Botanical Garden,Active,Non-Governmental Organization,CIG - New York Botanical Garden
CIG - New York City Ballet,Active,Non-Governmental Organization,CIG - New York City Ballet
CIG - New York City Center,Active,Non-Governmental Organization,CIG - New York City Center
CIG - New York Hall of Science,Active,Non-Governmental Organization,CIG - New York Hall of Science
CIG - PS 1 Contemporary Art Center,Active,Non-Governmental Organization,CIG - PS 1 Contemporary Art Center
CIG - Public Theater,Active,Non-Governmental Organization,CIG - Public Theater
CIG - Queens Botanical Garden,Active,Non-Governmental Organization,CIG - Queens Botanical Garden
CIG - Queens Museum of Art,Active,Non-Governmental Organization,CIG - Queens Museum of Art
CIG - Queens Theatre in the Park,Active,Non-Governmental Organization,CIG - Queens Theatre in the Park
CIG - Snug Harbor Cultural Center & Botanical Garden,Active,Non-Governmental Organization,CIG - Snug Harbor Cultural Center & Botanical Garden
CIG - Staten Island Children’s Museum,Active,Non-Governmental Organization,CIG - Staten Island Children’s Museum
CIG - Staten Island Historical Society,Active,Non-Governmental Organization,CIG - Staten Island Historical Society
CIG - Staten Island Museum,Active,Non-Governmental Organization,CIG - Staten Island Museum
CIG - Staten Island Zoological Society,Active,Non-Governmental Organization,CIG - Staten Island Zoological Society
CIG - Studio Museum in Harlem,Active,Non-Governmental Organization,CIG - Studio Museum in Harlem
CIG - Wave Hill,Active,Non-Governmental Organization,CIG - Wave Hill
CIG - Weeksville Heritage Center,Active,Non-Governmental Organization,CIG - Weeksville Heritage Center
CIG - Wildlife Conservation Society,Active,Non-Governmental Organization,CIG - Wildlife Conservation Society
Citizens' Advisory Committee,Dissolved,"Advisory, Oversight, or Regulatory Body",Citizens' Advisory Committee for Cultural Plan
City Commission on Human Rights,Active,"Advisory, Oversight, or Regulatory Body","Human Rights, Commission on"
City Council,Active,Elected Office,City Council
City Planning Commission,Active,"Advisory, Oversight, or Regulatory Body",City Planning Commission
Civic Engagement Commission,Active,Mayoral Agency,Civic Engagement Commission
Civil Service Commission,Active,"Advisory, Oversight, or Regulatory Body",Civil Service Commission
Civil Service Commission Screening Committee,Duplicate,"Advisory, Oversight, or Regulatory Body",Civil Service Commission Screening Committee
Civilian Complaint Review Board,Active,"Advisory, Oversight, or Regulatory Body",Civilian Complaint Review Board
Climate Change Adaptation Taskforce,Dissolved,"Advisory, Oversight, or Regulatory Body",Climate Change Adaptation Taskforce
Climate Mobilization Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Climate Mobilization Advisory Board
Commercial Waste Zone Safety Task Force,Active,"Advisory, Oversight, or Regulatory Body",Commercial Waste Zone Safety Task Force
Commission on Community Reinvestment and the Closure of Rikers Island,Active,"Advisory, Oversight, or Regulatory Body","Community Reinvestment and the Closure of Rikers Island, Commission on"
Commission on Gender Equity,Active,"Advisory, Oversight, or Regulatory Body","Gender Equity, Commission on"
Commission on Public Information and Communication,Active,"Advisory, Oversight, or Regulatory Body","Public Information and Communication, Commission on"
Commission on Racial Equity,Active,"Advisory, Oversight, or Regulatory Body","Racial Equity, Commission on"
Commission on Women's Issues,Active,"Advisory, Oversight, or Regulatory Body","Women's Issues, Commission on"
Commission to Combat Police Corruption,Active,"Advisory, Oversight, or Regulatory Body","Combat Police Corruption, Commission to"
Committee on City Healthcare Services,Active,"Advisory, Oversight, or Regulatory Body","City Healthcare Services, Committee on"
Community Action Board – Dept. of Youth and Community Development,Active,"Advisory, Oversight, or Regulatory Body",Community Action Board � Dept. of Youth and Community Development
Community Affairs Unit,Active,Mayoral Office,"Community Affairs Unit, Mayor's"
Community Boards,Active,"Advisory, Oversight, or Regulatory Body",Community Boards
Community Services Board,Active,"Advisory, Oversight, or Regulatory Body",Community Services Board
Community Services Board - Developmental Disabilities Subcommittee,Active,"Advisory, Oversight, or Regulatory Body",Community Services Board - Developmental Disabilities Subcommittee
Community Services Board - Mental Health Subcommittee,Active,"Advisory, Oversight, or Regulatory Body",Community Services Board - Mental Health Subcommittee
Community Services Board - Substance Use Subcommittee,Active,"Advisory, Oversight, or Regulatory Body",Community Services Board - Substance Use Subcommittee
